category,count,percentage_of_games
Single-player,108003,88.09
Family Sharing,95904,78.22
Steam Achievements,55736,45.46
Steam Cloud,30354,24.76
Full controller support,25467,20.77
Multi-player,20294,16.55
Partial Controller Support,13691,11.17
PvP,12597,10.27
Steam Trading Cards,11377,9.28
Co-op,11019,8.99
Steam Leaderboards,9235,7.53
Unknown,8953,7.3
Online PvP,8920,7.28
Remote Play Together,7763,6.33
Shared/Split Screen,7433,6.06
Online Co-op,6781,5.53
Custom Volume Controls,6515,5.31
Playable without Timed Input,6452,5.26
VR Only,5787,4.72
Tracked Controller Support,5623,4.59
Shared/Split Screen PvP,5116,4.17
Stats,5097,4.16
Shared/Split Screen Co-op,4307,3.51
Stereo Sound,3960,3.23
Save Anytime,3655,2.98
Mouse Only Option,3194,2.6
Cross-Platform Multiplayer,3028,2.47
In-App Purchases,2998,2.45
Camera Comfort,2824,2.3
Steam Workshop,2732,2.23
Remote Play on TV,2589,2.11
Includes level editor,2580,2.1
Adjustable Difficulty,2530,2.06
Keyboard Only Option,2370,1.93
Captions available,1583,1.29
Color Alternatives,1524,1.24
MMO,1339,1.09
VR Supported,1195,0.97
Remote Play on Tablet,1105,0.9
LAN PvP,1058,0.86
LAN Co-op,1028,0.84
Surround Sound,1020,0.83
Remote Play on Phone,953,0.78
Touch Only Option,880,0.72
Adjustable Text Size,774,0.63
Subtitle Options,746,0.61
HDR available,395,0.32
Commentary available,294,0.24
VR Support,233,0.19
Narrated Game Menus,226,0.18
Valve Anti-Cheat enabled,115,0.09
Steam Timeline,104,0.08
Steam Turn Notifications,98,0.08
Includes Source SDK,59,0.05
SteamVR Collectibles,38,0.03
Chat Text-to-speech,35,0.03
Chat Speech-to-text,29,0.02
Mods (require HL2),2,0.0
Mods,2,0.0
