primary_category,count,percentage
Single-player,108003,88.09
Unknown,8953,7.3
Multi-player,4478,3.65
Tracked Controller Support,268,0.22
VR Only,231,0.19
Steam Achievements,120,0.1
Family Sharing,91,0.07
Steam Workshop,90,0.07
Full controller support,86,0.07
VR Supported,74,0.06
Partial Controller Support,35,0.03
Steam Cloud,34,0.03
In-App Purchases,31,0.03
Includes level editor,23,0.02
Online PvP,15,0.01
Steam Trading Cards,13,0.01
MMO,10,0.01
Camera Comfort,10,0.01
Mouse Only Option,6,0.0
Adjustable Text Size,6,0.0
Captions available,5,0.0
Playable without Timed Input,5,0.0
Steam Leaderboards,4,0.0
Color Alternatives,4,0.0
Stats,3,0.0
Keyboard Only Option,3,0.0
Remote Play Together,3,0.0
Includes Source SDK,2,0.0
PvP,2,0.0
HDR available,1,0.0
VR Support,1,0.0
Shared/Split Screen PvP,1,0.0
